neighbourhood,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,distance,price_per_night,available_morethan_200,reviews_morethan_100,distance_morethan_15,good_neighbourhood,ln_price
78702,apartments,65,7,1,0.01,1,79,3.1410937416331683,9.285714285714286,0,0,1,0,2.228477120840324
78751,apartments,100,2,340,2.85,1,1,4.782823460887851,50,0,1,1,1,3.912023005428146
78704,apartments,87,2,141,1.19,13,157,3.177864772830229,43.5,0,1,1,0,3.7727609380946383
78746,apartments,142,30,3,0.03,1,102,4.394660134529446,4.733333333333333,0,0,1,1,1.5546296759391054
78723,apartments,103,5,30,0.52,5,0,6.229857215877265,20.6,0,0,1,0,3.0252910757955354
78704,apartments,150,2,80,0.67,1,239,2.974607243668811,75,1,0,1,0,4.31748811353631
78702,apartments,225,4,34,0.3,2,0,1.769999039441444,56.25,0,0,1,0,4.029806041084529
78703,apartments,150,30,0,NA,1,0,2.6113286261144055,5,0,0,1,0,1.6094379124341003
78705,apartments,81,2,16,0.4,2,0,2.2049047533363813,40.5,0,0,1,0,3.7013019741124933
78757,apartments,329,30,116,1.15,12,0,9.483357401109835,10.966666666666667,0,1,1,1,2.3948603691032164
78704,apartments,70,31,128,1.1,2,314,2.981223784083383,2.2580645161290325,1,1,1,0,0.8145080375642129
78703,apartments,85,3,8,0.14,3,336,2.8343744534886914,28.333333333333332,1,0,1,0,3.3440389678222067
78751,apartments,126,5,78,0.72,9,310,3.6317222830466993,25.2,1,0,1,1,3.2268439945173775
78736,apartments,250,3,50,1.9,1,0,25.019857495573333,83.33333333333333,0,0,0,0,4.422848629194137
78751,apartments,138,5,73,0.65,9,1,3.498057925350095,27.6,0,0,1,1,3.3178157727231046
78751,apartments,126,5,70,0.62,9,296,3.583177469801426,25.2,1,0,1,1,3.2268439945173775
